name,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,duration,rating,score,ranked,popularity,favorites
Kidou Keisatsu Patlabor: On Television,TV,47,Finished Airing,"Oct 11, 1989 to Sep 26, 1990",Fall 1989,Unknown,['Tohokushinsha Film Corporation'],"['Central Park Media', 'Maiden Japan']",Sunrise,,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.68,#1278,#3544,440
Kengan Ashura Part 2,ONA,12,Finished Airing,"Oct 31, 2019",,,"['Nihon Ad Systems', 'Mainichi Broadcasting System', 'Pony Canyon', 'Shogakukan', 'KLab', 'MAGNET']",['add some'],Larx Entertainment,Web manga,[],24 min. per ep.,R - 17+ (violence & profanity),7.68,#1277,#2036,383
Isekai Shokudou 2,TV,12,Finished Airing,"Oct 2, 2021 to Dec 18, 2021",Fall 2021,Saturdays at 01:23 (JST),"['TV Tokyo', 'Nippon Animation', 'TV Osaka', 'AT-X', 'KlockWorx', 'flying DOG', 'DMM pictures', 'Shufunotomo', 'Polygon Magic', 'MAGNET']",['Crunchyroll'],OLM,Light novel,"['Fantasy', 'Gourmet', 'Slice of Life']",23 min. per ep.,PG-13 - Teens 13 or older,7.68,#1275,#2129,429
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",Summer 2015,Saturdays at 00:30 (JST),"['Genco', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Bandai Namco Games']",['Sentai Filmworks'],A-1 Pictures,Light novel,"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,R - 17+ (violence & profanity),7.68,#1273,#231,"6,280"
Break Blade Movie 6: Doukoku no Toride,Movie,1,Finished Airing,"Mar 26, 2011",,,['add some'],['Sentai Filmworks'],Production I.G,Manga,"['Action', 'Fantasy']",52 min.,R - 17+ (violence & profanity),7.68,#1272,#2995,24
Aria the Animation,TV,13,Finished Airing,"Oct 6, 2005 to Dec 29, 2005",Fall 2005,Thursdays at 01:30 (JST),"['Production I.G', 'TV Tokyo', 'Shochiku', 'Mag Garden']",['Nozomi Entertainment'],HAL Film Maker,Manga,"['Fantasy', 'Sci-Fi', 'Slice of Life']",24 min. per ep.,G - All Ages,7.68,#1271,#1437,"2,215"
Hourou Musuko,TV,11,Finished Airing,"Jan 14, 2011 to Apr 1, 2011",Winter 2011,Fridays at 01:15 (JST),"['Aniplex', 'AIC', 'Dentsu', 'Fuji TV', 'Magic Capsule', 'Enterbrain', 'Fujipacific Music']",['add some'],AIC Classic,Manga,"['Drama', 'Romance']",23 min. per ep.,PG-13 - Teens 13 or older,7.69,#1270,#1727,"1,076"
Hakuouki Movie 2: Shikon Soukyuu,Movie,1,Finished Airing,"Mar 8, 2014",,,['add some'],['Sentai Filmworks'],Studio Deen,,"['Action', 'Drama', 'Supernatural']",1 hr. 27 min.,PG-13 - Teens 13 or older,7.69,#1268,#4635,70
Hakumei to Mikochi,TV,12,Finished Airing,"Jan 12, 2018 to Mar 30, 2018",Winter 2018,Fridays at 21:00 (JST),"['Lantis', 'AT-X', 'Sony Music Communications', 'Kadokawa Media House', 'Kadokawa']",['Sentai Filmworks'],Lerche,Manga,"['Fantasy', 'Slice of Life']",23 min. per ep.,PG-13 - Teens 13 or older,7.69,#1267,#2708,410
Fruits Basket,TV,26,Finished Airing,"Jul 5, 2001 to Dec 27, 2001",Summer 2001,Thursdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'King Records']",['Funimation'],Studio Deen,Manga,"['Drama', 'Romance', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.69,#1266,#412,"9,506"
Dragon Ball Kai (2014),TV,61,Finished Airing,"Apr 6, 2014 to Jun 28, 2015",Spring 2014,Sundays at 09:00 (JST),['Fuji TV'],['Funimation'],Toei Animation,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.69,#1265,#1241,803
Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,Movie,1,Finished Airing,"Oct 9, 2021",,,['add some'],['add some'],CloverWorks,Manga,"['Boys Love', 'Comedy', 'Drama']",1 hr. 18 min.,PG-13 - Teens 13 or older,7.69,#1263,#3837,470
D.Gray-man Hallow,TV,13,Finished Airing,"Jul 5, 2016 to Sep 27, 2016",Summer 2016,Tuesdays at 01:35 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['Funimation'],TMS Entertainment,Manga,"['Action', 'Adventure', 'Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),7.69,#1262,#1262,"1,072"
Ani ni Tsukeru Kusuri wa Nai! 3,TV,12,Finished Airing,"Oct 7, 2019 to Dec 23, 2019",Fall 2019,Mondays at 09:54 (JST),"['Imagineer', 'Tencent Penguin Pictures', 'Planet Cartoon']",['add some'],Fanworks,Web manga,[],3 min. per ep.,PG-13 - Teens 13 or older,7.69,#1259,#3578,46
Wu Dong Qian Kun 2nd Season,ONA,12,Finished Airing,"Jul 12, 2020 to Sep 20, 2020",,,"['Tencent Penguin Pictures', 'China Literature Limited']",['add some'],Motion Magic,,"['Action', 'Adventure', 'Fantasy', 'Romance']",25 min. per ep.,PG-13 - Teens 13 or older,7.69,#1257,#8641,26
Kanojo to Kanojo no Neko: Everything Flows,TV,4,Finished Airing,"Mar 4, 2016 to Mar 25, 2016",Winter 2016,Fridays at 23:17 (JST),"['Lantis', 'CoMix Wave Films', 'LIDENFILMS']",['Discotek Media'],LIDENFILMS Kyoto Studio,,[],7 min. per ep.,G - All Ages,7.67,#1304,#1670,682
Kuroko no Basket 3rd Season NG-shuu,Special,9,Finished Airing,"Apr 24, 2015 to Dec 24, 2015",,,['Bandai Visual'],['add some'],Production I.G,Manga,"['Comedy', 'Sports']",2 min. per ep.,PG-13 - Teens 13 or older,7.67,#1307,#3290,83
Macross F: Close Encounter - Deculture Edition,Special,1,Finished Airing,"Dec 23, 2007",,,['add some'],['add some'],Satelight,,"['Action', 'Sci-Fi']",27 min.,PG-13 - Teens 13 or older,7.67,#1310,#5810,5
Meitantei Conan Movie 21: Karakurenai no Love Letter,Movie,1,Finished Airing,"Apr 15, 2017",,,['add some'],['Discotek Media'],TMS Entertainment,Manga,"['Action', 'Drama', 'Mystery', 'Romance']",1 hr. 51 min.,PG-13 - Teens 13 or older,7.67,#1312,#3957,41
